Doi,keywords
10.1515/jib-2019-0110,BREAST cancer risk factors;  GENE expression;  CANCER cells;  GENETIC testing;  GENETIC mutation;  gene expression analysis;  gene selection;  least absolute shrinkage selector operator (lasso);  machine learning;  regression;  Biotechnology;  TP248.13-248.65
10.3389/fmed.2020.608525,X-rays;  COVID-19;  MACHINE learning;  X-ray imaging;  SARS-CoV-2;  COVID-19 pandemic;  CHEST X rays;  DEEP learning;  FEATURE selection;  COVID-19 testing;  COMPUTED tomography;  SUPPORT vector machines;  REVERSE transcriptase polymerase chain reaction;  IMAGE recognition (Computer vision);  NO-tillage;  LUNGS;  LUNG infections;  INFORMATION modeling;  DIAGNOSIS methods;  ARTIFICIAL intelligence;  DISTANCES;  GENERATIVE adversarial networks;  PHYSICIANS;  ARTIFICIAL neural networks;  DISEASE progression;  CONVOLUTIONAL neural networks;  INFLUENZA;  INFLUENZA A H5N1;  COMPUTER-aided diagnosis;  SMART power grids
10.3389/fdgth.2020.569178,precision medicine;  artificial intelligence;  algorithms;  variability;  complex systems;  Medicine;  Public aspects of medicine;  RA1-1270;  Electronic computers. Computer science;  QA75.5-76.95
10.3389/fmed.2020.585744,lifestyle medicine;  chronic disease;  inflammation;  epigenetics;  research methodologies;  in silico modeling;  Medicine (General);  R5-920
10.3390/molecules26010156,IONIC conductivity;  ELECTRIC conductivity;  IONIC liquids;  GENETIC programming;  ATOMIC weights;  SYMBOLIC computation;  MACHINE learning;  LIQUID hydrocarbons;  STANDARD deviations;  SOLUBILITY;  EQUATIONS of state;  ARTIFICIAL intelligence;  VISCOSITY;  MACHINE theory;  MEASUREMENT of viscosity;  CHEMICAL structure;  ionic liquids;  viscosity;  Eyring’s theory;  artificial neural networks;  machine intelligent system;  CMIS modeling;  Organic chemistry;  QD241-441
10.3389/fgene.2020.598318,SUPPORT vector machines;  FORECASTING;  PLANT breeding;  ANIMAL breeding;  CORN;  CORN breeding;  genomic prediction;  SVM;  GBLUP;  BayesR;  molecular breeding;  Genetics;  QH426-470
10.3389/fgene.2020.567818,SINGLE nucleotide polymorphisms;  FORECASTING;  MACHINE learning;  SUPPORT vector machines;  GROWTH rate;  pigs;  crossbred;  single nucleotide polymorphism;  genomic prediction;  support vector machine;  machine learning;  Genetics;  QH426-470
10.3389/fgene.2020.605620,AMINO acid sequence;  FORECASTING;  BRCA genes;  PROTEIN domains;  MISSENSE mutation;  CONTEXTUAL learning;  TUMOR suppressor genes;  BERT pre-training model;  protein sequence;  hydrophilicity;  protein mutation;  BRCA1 gene;  Genetics;  QH426-470
10.3389/fcvm.2020.594192,atherosclerosis;  lower extremity artery disease (LEAD);  osteoid metaplasia;  machine learning;  digital pathology;  histology;  Diseases of the circulatory (Cardiovascular) system;  RC666-701
10.3389/fpsyt.2020.604268,COMPUTER-assisted image analysis (Medicine);  AGE;  FORECASTING;  DECODING algorithms;  DATA distribution;  chronological age;  structural MRI;  prediction;  decoding;  machine learning;  structural neuroimaging;  Psychiatry;  RC435-571
10.3389/fphar.2020.595254,HERBAL medicine;  CEREBROVASCULAR disease;  BLOOD-brain barrier;  ISCHEMIC stroke;  CELLULAR signal transduction;  QUERCETIN;  FLAVONES;  PLANT extracts;  PHARMACEUTICAL chemistry;  MOLECULAR structure;  COMPUTER-assisted molecular modeling;  ACETYLCHOLINESTERASE;  IN vitro studies;  ALZHEIMER'S disease;  PHARMACOLOGY;  NEUROPROTECTIVE agents;  VASCULAR endothelial growth factors;  CHINESE medicine;  Alzheimer's disease;  Xiao-Xu-Ming decoction;  network pharmacology;  machine learning;  molecular docking;  Therapeutics. Pharmacology;  RM1-950
10.1126/SCITRANSLMED.ABE4282,LUNGS;  ADULT respiratory distress syndrome;  EPITHELIUM;  PNEUMONIA;  PULMONARY fibrosis;  TELOMERASE reverse transcriptase;  STEM cells;  IDIOPATHIC pulmonary fibrosis;  EPITHELIAL cells;  LUNG infections;  CELLULAR aging;  TELOMERASE;  COVID-19;  SARS-CoV-2;  ADRENAL glands;  COVID-19 pandemic;  SMALL intestine;  AUTOPSY;  VIRAL proteins;  SUDDEN death;  MONONUCLEAR leukocytes;  LUNG transplantation;  GENE expression profiling;  EXTRACORPOREAL membrane oxygenation;  FLUORESCENCE in situ hybridization
10.3389/fmed.2020.577609,COVID-19 pneumonia;  radiomics;  computer-aided diagnosis;  deep learning;  quantitative chest CT-analysis;  Medicine (General);  R5-920
10.3389/fneur.2020.570181,MACHINE theory;  EDUCATION theory;  EDUCATIONAL evaluation;  PHILOSOPHY of education;  ARTIFICIAL intelligence;  STATISTICS;  CAROTID artery;  CEREBRAL angiography;  CONFIDENCE intervals;  CROSS-sectional method;  MULTIVARIATE analysis;  SEX distribution;  DESCRIPTIVE statistics;  ODDS ratio;  INTRACRANIAL aneurysms;  DISEASE risk factors;  SINUS of valsalva;  MACHINE learning;  INTRACRANIAL aneurysm ruptures;  DISTRIBUTION (Probability theory);  MAGNETIC resonance imaging;  ENDOVASCULAR surgery;  DECISION trees;  PUBLIC health;  STROKE patients;  NIH Stroke Scale;  FIBRIN fibrinogen degradation products;  THROMBOLYTIC therapy;  FIBRIN;  PLATELET-rich fibrin;  ARTIFICIAL neural networks;  RECEIVER operating characteristic curves;  RISK assessment;  intracranial aneurysm;  machine learning;  rupture;  subarachnoid hemorrhage;  stroke;  Neurology. Diseases of the nervous system;  RC346-429
10.3389/fgene.2020.614823,MACHINE learning;  METASTASIS;  RANDOM forest algorithms;  FORECASTING;  SUPPORT vector machines;  MEDICAL informatics;  metastatic cervical carcinoma from unknown primary;  random forest;  neural network;  support vector machine;  predict;  primary sites;  Genetics;  QH426-470
10.1371/journal.ppat.1009112,SALMONELLA enterica serovar Typhi;  SALMONELLA diseases;  GALLBLADDER;  TYPHOID fever;  DNA replication;  BACTERIAL cell walls;  PSEUDOMONAS aeruginosa infections;  DRUG resistance in bacteria;  MEDICAL records;  CYSTIC fibrosis;  BACTERIAL cells;  PSEUDOMONAS aeruginosa;  BURKHOLDERIA infections;  BACTERIAL diseases;  TREATMENT failure;  ANTIBIOTICS;  OPPORTUNISTIC infections;  MICROBIOLOGICAL techniques;  DROSOPHILA melanogaster;  DROSOPHILA;  TEST systems;  Immunologic diseases. Allergy;  RC581-607;  Biology (General);  QH301-705.5
10.1136/bmjopen-2020-045309,COVID-19 pandemic;  PANDEMICS;  POLITICAL systems;  SOCIAL interaction;  ECONOMIC systems;  Medicine
10.3389/fphar.2020.606668,artificial intelligence;  deep learning;  fingerprints;  quantitative structure-activity relationship;  molecular descriptors;  Therapeutics. Pharmacology;  RM1-950
10.1371/journal.pbio.3000702,REEF fishes;  CORAL reefs & islands;  CORAL reef fishes;  PHYLOGENETIC models;  PHYLOGENY;  GUILDS;  TROPHIC cascades;  Biology (General);  QH301-705.5
10.3389/fmed.2020.598652,sepsis;  immune status;  heterogeneity;  endotype;  immunoparalysis;  Medicine (General);  R5-920
10.3389/fneur.2020.594550,INFANT death;  SUDDEN infant death syndrome;  DIMENSIONAL reduction algorithms;  INFANT mortality;  BIRTH weight;  LOW birth weight;  sudden infant death syndrome (SIDS);  neuropathology;  cluster analysis;  infant mortality rate;  infant death;  Neurology. Diseases of the nervous system;  RC346-429
10.3389/fped.2020.601892,testicular torsion;  acute scrotum;  prediction score;  epidydimitis;  hydatide torsion;  scrotal edema;  Pediatrics;  RJ1-570
10.3389/fmicb.2020.595910,MICROBIAL metabolites;  RIBOSOMAL RNA;  NUCLEAR magnetic resonance spectroscopy;  FORECASTING;  MATRIX-assisted laser desorption-ionization;  HUMAN microbiota;  GUT microbiome;  METABOLOMICS;  metabolome;  human microbiome;  computational prediction;  metabolic potential;  Next Generation Sequence;  Microbiology;  QR1-502
10.3389/fdgth.2020.600604,obstetrics;  gynecology;  chronic pelvic pain in women;  endometriosis;  quality of life;  infertility;  Medicine;  Public aspects of medicine;  RA1-1270;  Electronic computers. Computer science;  QA75.5-76.95
10.3390/jcm9124084,CLUSTER analysis (Statistics);  BIOMARKERS;  HIERARCHICAL clustering (Cluster analysis);  RECEIVER operating characteristic curves;  VISUAL acuity;  IgG4-related ophthalmic disease;  unbiased cluster analysis;  extraocular muscle enlargement;  decreased best corrected visual acuity;  biomarker;  Medicine
10.1136/bmjopen-2020-040931,Medicine
10.2215/CJN.15611219,CHRONIC kidney failure;  GLUTATHIONE;  HERBAL medicine;  RANDOMIZED controlled trials;  STATISTICAL sampling;  ACUTE kidney failure;  CHINESE medicine;  PATIENT safety
10.3389/fpsyt.2020.593336,CONVOLUTIONAL neural networks;  SUPPORT vector machines;  FORECASTING;  MAGNETIC resonance imaging;  IMAGE processing;  brain age;  MRI;  machine learning;  deep learning;  statistical learning;  ensemble learning;  Psychiatry;  RC435-571
10.3389/fdgth.2020.572671,connected health for breast cancer;  image descriptors;  annotated data;  histopathological data;  connected health and computer vision;  Medicine;  Public aspects of medicine;  RA1-1270;  Electronic computers. Computer science;  QA75.5-76.95
10.1080/20008198.2020.1726672,BRIEF psychotherapy;  POST-traumatic stress disorder;  TREATMENT effectiveness;  BEHAVIOR therapy;  PSYCHIATRIC research;  supervised classification;  text mining;  speech analysis;  posttraumatic stress disorder;  cognitive behavioural therapy;  brief eclectic psychotherapy;  hotspot;  Psychiatry;  RC435-571
10.3389/fpsyt.2020.537442,MACHINE learning;  PSYCHOTHERAPY;  ELECTRIC machines;  FORECASTING;  RANDOM forest algorithms;  SADNESS;  side effects;  psychotherapy;  machine learning;  online survey;  China;  Psychiatry;  RC435-571
10.1016/j.xpro.2020.100148,RAW milk;  RIBOSOMAL RNA;  MILK;  ARCHAEBACTERIA;  YEAST;  BACTERIAL diversity;  Science (General);  Q1-390
10.1016/j.omtn.2020.09.031,RNA modification & restriction;  NUCLEOTIDES;  RNA;  TRANSFER RNA;  RECEIVER operating characteristic curves;  SYSTEMIC lupus erythematosus;  DEEP learning;  5-methyluridine;  m5U;  sequence-derived features;  support vector machine;  SVM;  Therapeutics. Pharmacology;  RM1-950
10.3390/ijerph17249385,self-harm;  suicide;  monitoring;  emergency department;  artificial intelligence;  natural language processing;  Medicine
10.3389/fpsyt.2020.505673,SENTIMENT analysis;  DATA mining;  PSYCHOLOGICAL distress;  KOREANS;  NATURAL language processing;  SOCIAL media in medicine;  data mining;  sentiment analysis;  data crawling;  machine learning;  natural language processing;  Psychiatry;  RC435-571
10.1371/journal.pmed.1003456,MULTIDRUG-resistant tuberculosis;  DYNAMIC models;  TUBERCULOSIS;  CITY dwellers;  SYMPTOMS;  COST;  Medicine
10.3389/fmed.2020.591517,balance;  stability;  postural stability;  fall risk;  aging;  fall prediction;  Medicine (General);  R5-920
10.3389/fphys.2020.612036,PHYSIOLOGIC salines;  FLATFISHES;  INFLAMMATION;  BUFFER solutions;  GENE regulatory networks;  Ringer’s;  stress;  RNA-seq;  immune response;  glycolysis;  Physiology;  QP1-981
10.3390/jcm9123896,CATARACT surgery;  SURGICAL instruments;  OPERATIVE surgery;  PHACOEMULSIFICATION;  OBSTETRICAL forceps;  MACHINE learning;  OPHTHALMOLOGISTS;  cataract surgery;  neural networks;  anomaly detection;  image classification;  image segmentation;  Medicine
10.1016/j.omtn.2020.09.010,DNA N4-methylcytosine site;  machine learning;  prediction model;  sequence analysis;  web server;  performance validation;  Therapeutics. Pharmacology;  RM1-950
10.3389/fmed.2020.616746,object detection;  deep learning;  positron emission tomography;  YOLOv2;  computer vision;  Medicine (General);  R5-920
10.1016/j.omtn.2020.08.025,GOSeqPPI;  protein-protein interaction;  ontology semantic representation;  NCBI-blueBERT;  inception RNN attention network;  biomedical research;  Therapeutics. Pharmacology;  RM1-950
10.1136/bmjopen-2020-042035,Medicine
10.1371/journal.ppat.1009147,HIV;  TAR;  RNA;  MOLECULAR biology;  NUCLEOTIDES;  RNA-protein interactions;  LIFE cycles (Biology);  NEGATIVE regulatory factor;  VIRAL proteins;  RNA viruses;  POST-translational modification;  VIRAL DNA;  PROTEIN-protein interactions;  MOLECULAR interactions;  NUCLEIC acids;  RETROVIRUSES;  TAT protein;  GENETIC mutation;  DNA insertion elements;  PARTICLES (Nuclear physics);  Immunologic diseases. Allergy;  RC581-607;  Biology (General);  QH301-705.5
10.3389/fimmu.2020.603272,FOOD allergy;  HOMEOSTASIS;  ALLERGENS;  IMMUNE response;  IMMUNE system;  food allergy;  animal modeling;  type 2 immunity;  Th2;  homeostasis;  Immunologic diseases. Allergy;  RC581-607
10.1093/eurheartj/ehaa159,DIGITAL twins;  MICROWAVES;  INDUSTRY 4.0;  SURGICAL complications;  OLDER people;  MEDICAL informatics;  SIMULATED patients;  INDIVIDUALIZED medicine;  PRODUCT safety;  MEDICAL equipment;  DISEASE progression;  TWINS;  MEDICAL supplies;  DIGITAL computer simulation;  FINITE element method;  BOLTED joints;  ENGINEERING equipment;  NATURAL gas in submerged lands;  BIG data;  ARTIFICIAL intelligence;  CAREER development;  VOCATIONAL guidance counselors;  COUNSELING in higher education;  NONRELATIONAL databases;  DIET;  FASTING;  BLOOD sugar;  PROTEIN metabolism;  MEASURE theory;  FETOFETAL transfusion;  TECHNOLOGICAL innovations;  DIGITAL transformation;  COMMON misconceptions;  DIGITAL technology;  SYSTEM failures;  RARE earths;  MANUFACTURING processes;  CYBERSPACE;  AGRICULTURAL innovations;  CARDIOVASCULAR disease treatment;  INTERNET of things;  SOFTWARE analytics;  ARTIFICIAL neural networks
10.1080/1943815X.2020.1749086,ENVIRONMENTAL risk;  DISCOURSE analysis;  LITERATURE reviews;  SOCIAL network analysis;  ECONOMIC security;  INTERNATIONAL organization;  CALORIC content of foods;  MUNICIPAL water supply;  SCIENTIFIC literature;  CITY dwellers;  SUSTAINABILITY;  POOR communities;  SUSTAINABLE urban development;  water-energy-food nexus;  nexus governance;  social network analysis;  discourse analysis;  systematic literature review;  Environmental sciences;  GE1-350
10.3389/fped.2020.581893,autism;  intervention efficacy;  predictors;  mother-child dyadic synchrony;  parenting stress;  play-based communication and behavior intervention;  Pediatrics;  RJ1-570
10.3389/fgene.2020.598773,decision rule;  KEGG pathway;  gene ontology;  decision tree;  long non-coding RNAs;  cancer;  Genetics;  QH426-470
